O*NET-SOC Code,Element Name,Data Value
11-1011.00,Oral Comprehension,4.5
11-1011.00,Written Comprehension,4.25
11-1011.00,Oral Expression,4.38
11-1011.00,Written Expression,4.12
11-1011.00,Fluency of Ideas,3.88
11-1011.00,Originality,3.88
11-1011.00,Problem Sensitivity,4
11-1011.00,Deductive Reasoning,4.12
11-1011.00,Inductive Reasoning,4
11-1011.00,Information Ordering,3.62
11-1011.00,Category Flexibility,3.5
11-1011.00,Mathematical Reasoning,3.38
11-1011.00,Number Facility,3.25
11-1011.00,Memorization,3
11-1011.00,Speed of Closure,3.12
11-1011.00,Flexibility of Closure,3.38
11-1011.00,Perceptual Speed,3.12
11-1011.00,Spatial Orientation,1.12
11-1011.00,Visualization,3.12
11-1011.00,Selective Attention,3
11-1011.00,Time Sharing,3
11-1011.00,Arm-Hand Steadiness,1
11-1011.00,Manual Dexterity,1
11-1011.00,Finger Dexterity,2.25
11-1011.00,Control Precision,1.75
11-1011.00,Multilimb Coordination,1.75
11-1011.00,Response Orientation,1
11-1011.00,Rate Control,1
11-1011.00,Reaction Time,1
11-1011.00,Wrist-Finger Speed,1
11-1011.00,Speed of Limb Movement,1
11-1011.00,Static Strength,1
11-1011.00,Explosive Strength,1
11-1011.00,Dynamic Strength,1
11-1011.00,Trunk Strength,1
11-1011.00,Stamina,1
11-1011.00,Extent Flexibility,1
11-1011.00,Dynamic Flexibility,1
11-1011.00,Gross Body Coordination,1
11-1011.00,Gross Body Equilibrium,1
11-1011.00,Near Vision,3.88
11-1011.00,Far Vision,3
11-1011.00,Visual Color Discrimination,1.88
11-1011.00,Night Vision,1
11-1011.00,Peripheral Vision,1
11-1011.00,Depth Perception,1.75
11-1011.00,Glare Sensitivity,1
11-1011.00,Hearing Sensitivity,1.75
11-1011.00,Auditory Attention,2.12
11-1011.00,Sound Localization,1
11-1011.00,Speech Recognition,4.12
11-1011.00,Speech Clarity,4.12
11-1011.03,Oral Comprehension,4
11-1011.03,Written Comprehension,4
11-1011.03,Oral Expression,4
11-1011.03,Written Expression,3.88
11-1011.03,Fluency of Ideas,3.62
11-1011.03,Originality,3.62
11-1011.03,Problem Sensitivity,3.88
11-1011.03,Deductive Reasoning,4
11-1011.03,Inductive Reasoning,4
11-1011.03,Information Ordering,3.5
11-1011.03,Category Flexibility,3.38
11-1011.03,Mathematical Reasoning,2.88
11-1011.03,Number Facility,2.75
11-1011.03,Memorization,2.25
11-1011.03,Speed of Closure,2.38
11-1011.03,Flexibility of Closure,3
11-1011.03,Perceptual Speed,2.38
11-1011.03,Spatial Orientation,1.25
11-1011.03,Visualization,2.75
11-1011.03,Selective Attention,2.88
11-1011.03,Time Sharing,2.62
11-1011.03,Arm-Hand Steadiness,1
11-1011.03,Manual Dexterity,1
11-1011.03,Finger Dexterity,2.25
11-1011.03,Control Precision,1.75
11-1011.03,Multilimb Coordination,1.62
11-1011.03,Response Orientation,1.12
11-1011.03,Rate Control,1.12
11-1011.03,Reaction Time,1.25
11-1011.03,Wrist-Finger Speed,1.12
11-1011.03,Speed of Limb Movement,1
11-1011.03,Static Strength,1
11-1011.03,Explosive Strength,1
11-1011.03,Dynamic Strength,1
11-1011.03,Trunk Strength,1.12
