O*NET-SOC Code,Element Name,Data Value
11-1011.00,Administration and Management,4.75
11-1011.00,Clerical,2.66
11-1011.00,Economics and Accounting,3.7
11-1011.00,Sales and Marketing,3.23
11-1011.00,Customer and Personal Service,4.09
11-1011.00,Personnel and Human Resources,4.1
11-1011.00,Production and Processing,2.63
11-1011.00,Food Production,1.14
11-1011.00,Computers and Electronics,2.23
11-1011.00,Engineering and Technology,1.75
11-1011.00,Design,2.05
11-1011.00,Building and Construction,2.11
11-1011.00,Mechanical,1.67
11-1011.00,Mathematics,3.4
11-1011.00,Physics,1.23
11-1011.00,Chemistry,1.43
11-1011.00,Biology,1.34
11-1011.00,Psychology,3.1
11-1011.00,Sociology and Anthropology,2.61
11-1011.00,Geography,1.59
11-1011.00,Medicine and Dentistry,1.35
11-1011.00,Therapy and Counseling,2
11-1011.00,Education and Training,3.24
11-1011.00,English Language,4.07
11-1011.00,Foreign Language,1.56
11-1011.00,Fine Arts,1.43
11-1011.00,History and Archeology,1.48
11-1011.00,Philosophy and Theology,1.7
11-1011.00,Public Safety and Security,3.3
11-1011.00,Law and Government,3.92
11-1011.00,Telecommunications,1.76
11-1011.00,Communications and Media,2.7
11-1011.00,Transportation,2.21
11-1011.03,Administration and Management,3.85
11-1011.03,Clerical,2.58
11-1011.03,Economics and Accounting,2.96
11-1011.03,Sales and Marketing,3.5
11-1011.03,Customer and Personal Service,3.62
11-1011.03,Personnel and Human Resources,2.72
11-1011.03,Production and Processing,2.23
11-1011.03,Food Production,1.64
11-1011.03,Computers and Electronics,2.65
11-1011.03,Engineering and Technology,3.35
11-1011.03,Design,3.72
11-1011.03,Building and Construction,3.69
11-1011.03,Mechanical,2.64
11-1011.03,Mathematics,3.12
11-1011.03,Physics,2.48
11-1011.03,Chemistry,2.36
11-1011.03,Biology,2.44
11-1011.03,Psychology,2.88
11-1011.03,Sociology and Anthropology,2.38
11-1011.03,Geography,2.46
11-1011.03,Medicine and Dentistry,1.23
11-1011.03,Therapy and Counseling,1.23
11-1011.03,Education and Training,3.48
11-1011.03,English Language,3.81
11-1011.03,Foreign Language,1.4
11-1011.03,Fine Arts,1.38
11-1011.03,History and Archeology,1.8
11-1011.03,Philosophy and Theology,1.85
11-1011.03,Public Safety and Security,2.4
11-1011.03,Law and Government,2.88
11-1011.03,Telecommunications,1.58
11-1011.03,Communications and Media,2.84
11-1011.03,Transportation,2.42
11-1021.00,Administration and Management,4.35
11-1021.00,Clerical,3.51
11-1021.00,Economics and Accounting,3.47
11-1021.00,Sales and Marketing,3.47
11-1021.00,Customer and Personal Service,3.95
11-1021.00,Personnel and Human Resources,3.76
11-1021.00,Production and Processing,3.39
11-1021.00,Food Production,1.34
11-1021.00,Computers and Electronics,3.33
11-1021.00,Engineering and Technology,2.42
11-1021.00,Design,2.38
11-1021.00,Building and Construction,2.51
11-1021.00,Mechanical,2.71
11-1021.00,Mathematics,3.56
11-1021.00,Physics,1.81
